,brand,model,year,Energy,gear_box,Trim,price
18412,MERCEDES,Classe A,2020,Diesel,Automatique,180 d 7G-DCT Style Line,27990
18413,MERCEDES,Classe A,2021,Diesel,Automatique,180 d 8G-DCT AMG Line,33490
18414,MERCEDES,Classe E,2021,Diesel,Automatique,Coupé 220 d 9G-Tronic AMG Line,49990
18415,MERCEDES,Classe E,2018,Essence,Automatique,Break 53 EQBoost 9G-Tronic 4-Matic+,59990
18416,MERCEDES,Classe C,2021,Diesel,Automatique,Cabriolet 220 d 9G-Tronic AMG Line,50990
18417,MERCEDES,Classe A,2021,Essence,Automatique,180 7G-DCT AMG Line,36990
18418,MERCEDES,Classe A,2020,Diesel,Automatique,180 d 7G-DCT Progressive Line,27990
18419,MERCEDES,Eqb,2022,Electrique,Automatique,350 4Matic AMG Line,64900
18420,MERCEDES,Classe Glc,2019,Diesel,Automatique,200 d 9G-Tronic Avantgarde Line,43990
18421,MERCEDES,Eqs,2022,Electrique,Automatique,450+ AMG Line,126900
18422,MERCEDES,Classe A,2022,Diesel,Automatique,180 d 8G-DCT AMG Line,37990
18423,MERCEDES,Classe Cls,2021,Diesel,Automatique,CLS Coupé 400d 9G-Tronic 4Matic AMG Line,102900
18424,MERCEDES,Classe Glc,2018,Diesel,Automatique,250 d 9G-Tronic 4Matic Fascination,41990
18425,MERCEDES,Classe A,2022,Diesel,Automatique,200 d 8G-DCT Progressive Line,36900
18426,MERCEDES,Classe A,2021,Diesel,Automatique,180 d 8G-DCT AMG Line,31990
18427,MERCEDES,Classe Glc,2022,Electrique,Automatique,300 e 9G-Tronic 4Matic AMG Line,70900
18428,PEUGEOT,2008,2022,Diesel,Manuelle,1.5 BlueHDi 110ch S&S Active Pack,26997
18429,PEUGEOT,3008,2022,Diesel,Automatique,1.5 BlueHDi 130ch S&S GT Pack EAT8,45921
18430,RENAULT,Grand Scenic,2020,Diesel,Manuelle,1.7 Blue dCi 120ch Business 7 places,23490
18431,BMW,Serie 5,2022,Diesel,Automatique,Série 5 540dA xDrive 340ch M Sport Steptronic,83990
18432,MINI,Clubman,2018,Diesel,Robotisée,One D 116ch Kensington BVA7,21990
18433,MINI,Countryman,2019,Diesel,Manuelle,One D 116ch Oakwood,26829
18434,OPEL,Mokka,2022,Diesel,Manuelle,1.5 D 110ch Elegance Business,26290
18435,PEUGEOT,308,2021,Essence,Manuelle,1.2 PureTech 110ch S&S Style,21990
18436,MERCEDES,Classe Glc,2022,Hybride,Automatique,300 de 9G-Tronic 4Matic AMG Line,75900
18437,MERCEDES,Cla,2022,Diesel,Automatique,Shooting Brake 200 d 8G-DCT AMG Line,43900
18438,MERCEDES,Classe B,2022,Diesel,Automatique,200 d 8G-DCT AMG Line Edition,41900
18439,PEUGEOT,208,2021,Essence,Automatique,PureTech 100 S&S EAT8 Allure,23980
18440,TOYOTA,Aygo,2021,Essence,Manuelle,1.0 VVT-i 72ch x-play 5p MY20,13990
18441,MERCEDES,Sl,2022,Essence,Automatique,Classe 63 AMG 585ch 4Matic+ 9G Speedshift MCT AMG,249900
18442,MERCEDES,Cla,2021,Hybride,Robotisée,Shooting Brake 250 e 160+102ch AMG Line 8G-DCT,45990
18443,MERCEDES,Classe A,2021,Diesel,Robotisée,200 d 150ch Business Line 8G-DCT,31990
18444,ALFA ROMEO,Stelvio,2021,Diesel,Automatique,2.2 Diesel 190ch Sprint Q4 AT8 MY21,48900
